Plot Title: N-A-0,,,
#,"Date Time, GMT -0400","Temp, °F","Intensity,  lum/ft²"
1,2019-06-06 8:41:00,90.37,"2,494"
2,2019-06-06 9:11:00,87.67,"1,687"
3,2019-06-06 9:41:00,92.23,"3,204"
4,2019-06-06 10:11:00,90.22,"1,800"
5,2019-06-06 10:41:00,96.86,"2,883"
6,2019-06-06 11:11:00,97.17,"3,302"
7,2019-06-06 11:41:00,102.42,"2,996"
8,2019-06-06 12:11:00,98.87,860
9,2019-06-06 12:41:00,92.30,639
10,2019-06-06 13:11:00,89.29,647
11,2019-06-06 13:41:00,93.77,"1,295"
12,2019-06-06 14:11:00,90.14,679
13,2019-06-06 14:41:00,90.45,456
14,2019-06-06 15:11:00,88.37,276
15,2019-06-06 15:41:00,87.52,308
16,2019-06-06 16:11:00,86.36,207
17,2019-06-06 16:41:00,86.59,217
18,2019-06-06 17:11:00,86.36,228
19,2019-06-06 17:41:00,83.58,163
20,2019-06-06 18:11:00,83.66,192
21,2019-06-06 18:41:00,82.42,145
22,2019-06-06 19:11:00,81.03,108
23,2019-06-06 19:41:00,78.95,70
24,2019-06-06 20:11:00,77.17,22
25,2019-06-06 20:41:00,75.62,2
26,2019-06-06 21:11:00,74.78,0
27,2019-06-06 21:41:00,73.54,0
28,2019-06-06 22:11:00,72.46,0
29,2019-06-06 22:41:00,71.45,0
30,2019-06-06 23:11:00,70.68,0
31,2019-06-06 23:41:00,70.06,0
32,2019-06-07 0:11:00,69.37,0
33,2019-06-07 0:41:00,68.98,0
34,2019-06-07 1:11:00,68.67,0
35,2019-06-07 1:41:00,68.52,0
36,2019-06-07 2:11:00,67.90,0
37,2019-06-07 2:41:00,67.67,0
38,2019-06-07 3:11:00,68.29,0
39,2019-06-07 3:41:00,68.98,0
40,2019-06-07 4:11:00,68.67,0
41,2019-06-07 4:41:00,68.29,0
42,2019-06-07 5:11:00,67.75,0
43,2019-06-07 5:41:00,67.59,3
44,2019-06-07 6:11:00,67.59,24
45,2019-06-07 6:41:00,68.91,95
46,2019-06-07 7:11:00,70.06,127
47,2019-06-07 7:41:00,70.99,168
48,2019-06-07 8:11:00,71.76,180
49,2019-06-07 8:41:00,74.70,430
50,2019-06-07 9:11:00,77.25,748
51,2019-06-07 9:41:00,76.47,388
52,2019-06-07 10:11:00,79.33,712
53,2019-06-07 10:41:00,82.57,"1,071"
54,2019-06-07 11:11:00,84.12,911
55,2019-06-07 11:41:00,79.95,467
56,2019-06-07 12:11:00,84.43,829
57,2019-06-07 12:41:00,88.29,890
58,2019-06-07 13:11:00,81.18,385
59,2019-06-07 13:41:00,82.19,506
60,2019-06-07 14:11:00,83.66,517
61,2019-06-07 14:41:00,83.58,520
62,2019-06-07 15:11:00,84.20,481
63,2019-06-07 15:41:00,81.88,303
64,2019-06-07 16:11:00,80.26,313
65,2019-06-07 16:41:00,81.49,361
66,2019-06-07 17:11:00,81.88,349
67,2019-06-07 17:41:00,81.18,284
68,2019-06-07 18:11:00,80.18,180
69,2019-06-07 18:41:00,78.79,95
70,2019-06-07 19:11:00,76.94,71
71,2019-06-07 19:41:00,75.55,38
72,2019-06-07 20:11:00,74.00,12
73,2019-06-07 20:41:00,72.69,1
74,2019-06-07 21:11:00,71.92,0
75,2019-06-07 21:41:00,71.45,0
76,2019-06-07 22:11:00,71.22,0
77,2019-06-07 22:41:00,70.53,0
78,2019-06-07 23:11:00,70.14,0
79,2019-06-07 23:41:00,69.29,0
80,2019-06-08 0:11:00,68.52,0
81,2019-06-08 0:41:00,68.06,0
82,2019-06-08 1:11:00,67.90,0
83,2019-06-08 1:41:00,67.21,0
84,2019-06-08 2:11:00,66.44,0
85,2019-06-08 2:41:00,65.89,0
86,2019-06-08 3:11:00,65.28,0
87,2019-06-08 3:41:00,64.81,0
88,2019-06-08 4:11:00,64.27,0
89,2019-06-08 4:41:00,64.35,0
90,2019-06-08 5:11:00,64.58,0
91,2019-06-08 5:41:00,64.35,3
92,2019-06-08 6:11:00,64.43,31
93,2019-06-08 6:41:00,65.12,83
94,2019-06-08 7:11:00,66.74,138
95,2019-06-08 7:41:00,69.06,252
96,2019-06-08 8:11:00,72.61,684
97,2019-06-08 8:41:00,75.47,480
98,2019-06-08 9:11:00,75.86,461
99,2019-06-08 9:41:00,79.41,734
100,2019-06-08 10:11:00,82.88,729
101,2019-06-08 10:41:00,92.84,"2,224"
102,2019-06-08 11:11:00,87.21,"2,332"
103,2019-06-08 11:41:00,88.91,"1,850"
104,2019-06-08 12:11:00,93.31,"2,537"
105,2019-06-08 12:41:00,91.45,"1,838"
106,2019-06-08 13:11:00,91.38,"1,856"
107,2019-06-08 13:41:00,92.92,634
108,2019-06-08 14:11:00,87.52,426
109,2019-06-08 14:41:00,87.29,361
110,2019-06-08 15:11:00,85.28,340
111,2019-06-08 15:41:00,84.51,405
112,2019-06-08 16:11:00,84.20,386
113,2019-06-08 16:41:00,82.65,329
114,2019-06-08 17:11:00,82.73,345
115,2019-06-08 17:41:00,82.65,339
116,2019-06-08 18:11:00,82.65,286
117,2019-06-08 18:41:00,80.64,204
118,2019-06-08 19:11:00,79.64,143
119,2019-06-08 19:41:00,78.02,53
120,2019-06-08 20:11:00,76.86,20
121,2019-06-08 20:41:00,75.86,1
122,2019-06-08 21:11:00,74.62,0
123,2019-06-08 21:41:00,74.39,0
124,2019-06-08 22:11:00,73.31,0
125,2019-06-08 22:41:00,72.30,0
126,2019-06-08 23:11:00,71.84,0
127,2019-06-08 23:41:00,70.84,0
128,2019-06-09 0:11:00,70.37,0
129,2019-06-09 0:41:00,70.30,0
130,2019-06-09 1:11:00,69.91,0
131,2019-06-09 1:41:00,69.29,0
132,2019-06-09 2:11:00,69.22,0
133,2019-06-09 2:41:00,69.60,0
134,2019-06-09 3:11:00,67.98,0
135,2019-06-09 3:41:00,66.36,0
136,2019-06-09 4:11:00,67.52,0
137,2019-06-09 4:41:00,67.36,0
138,2019-06-09 5:11:00,66.28,0
139,2019-06-09 5:41:00,66.90,3
140,2019-06-09 6:11:00,67.13,22
141,2019-06-09 6:41:00,67.67,97
142,2019-06-09 7:11:00,67.83,141
143,2019-06-09 7:41:00,67.28,120
144,2019-06-09 8:11:00,68.37,123
145,2019-06-09 8:41:00,69.45,236
146,2019-06-09 9:11:00,74.54,814
147,2019-06-09 9:41:00,71.22,225
148,2019-06-09 10:11:00,74.31,279
149,2019-06-09 10:41:00,77.79,656
150,2019-06-09 11:11:00,79.79,561
151,2019-06-09 11:41:00,74.78,176
152,2019-06-09 12:11:00,75.16,399
153,2019-06-09 12:41:00,72.69,406
154,2019-06-09 13:11:00,71.07,243
155,2019-06-09 13:41:00,70.37,292
156,2019-06-09 14:11:00,71.92,185
157,2019-06-09 14:41:00,71.45,248
158,2019-06-09 15:11:00,72.46,229
159,2019-06-09 15:41:00,70.76,211
160,2019-06-09 16:11:00,70.68,162
161,2019-06-09 16:41:00,69.60,162
162,2019-06-09 17:11:00,69.68,79
163,2019-06-09 17:41:00,67.90,53
164,2019-06-09 18:11:00,66.74,46
165,2019-06-09 18:41:00,65.89,35
166,2019-06-09 19:11:00,65.43,20
167,2019-06-09 19:41:00,65.28,16
168,2019-06-09 20:11:00,65.35,7
169,2019-06-09 20:41:00,65.12,0
170,2019-06-09 21:11:00,64.97,0
171,2019-06-09 21:41:00,64.50,0
172,2019-06-09 22:11:00,64.12,0
173,2019-06-09 22:41:00,63.73,0
174,2019-06-09 23:11:00,63.42,0
175,2019-06-09 23:41:00,62.88,0
176,2019-06-10 0:11:00,62.73,0
177,2019-06-10 0:41:00,62.57,0
178,2019-06-10 1:11:00,62.42,0
179,2019-06-10 1:41:00,62.11,0
180,2019-06-10 2:11:00,61.80,0
181,2019-06-10 2:41:00,61.49,0
182,2019-06-10 3:11:00,61.49,0
183,2019-06-10 3:41:00,61.42,0
184,2019-06-10 4:11:00,61.57,0
185,2019-06-10 4:41:00,61.57,0
186,2019-06-10 5:11:00,61.65,0
187,2019-06-10 5:41:00,61.49,1
188,2019-06-10 6:11:00,61.65,5
189,2019-06-10 6:41:00,61.72,19
190,2019-06-10 7:11:00,62.11,60
191,2019-06-10 7:41:00,62.27,56
192,2019-06-10 8:11:00,62.81,77
193,2019-06-10 8:41:00,62.81,122
194,2019-06-10 9:11:00,62.57,148
195,2019-06-10 9:41:00,62.11,148
196,2019-06-10 10:11:00,63.11,269
197,2019-06-10 10:41:00,64.20,269
198,2019-06-10 11:11:00,63.81,256
199,2019-06-10 11:41:00,63.19,176
200,2019-06-10 12:11:00,64.20,354
201,2019-06-10 12:41:00,65.05,330
202,2019-06-10 13:11:00,68.13,369
203,2019-06-10 13:41:00,69.76,699
204,2019-06-10 14:11:00,72.30,520
205,2019-06-10 14:41:00,70.45,307
206,2019-06-10 15:11:00,70.53,293
207,2019-06-10 15:41:00,70.14,230
208,2019-06-10 16:11:00,71.92,277
209,2019-06-10 16:41:00,71.84,332
210,2019-06-10 17:11:00,72.15,251
211,2019-06-10 17:41:00,71.76,181
212,2019-06-10 18:11:00,71.30,96
213,2019-06-10 18:41:00,70.53,73
214,2019-06-10 19:11:00,69.99,82
215,2019-06-10 19:41:00,69.99,68
216,2019-06-10 20:11:00,68.98,25
217,2019-06-10 20:41:00,67.75,2
218,2019-06-10 21:11:00,66.98,0
219,2019-06-10 21:41:00,66.82,0
220,2019-06-10 22:11:00,66.82,0
221,2019-06-10 22:41:00,66.82,0
222,2019-06-10 23:11:00,66.90,0
223,2019-06-10 23:41:00,66.90,0
224,2019-06-11 0:11:00,67.44,0
225,2019-06-11 0:41:00,67.36,0
226,2019-06-11 1:11:00,67.28,0
227,2019-06-11 1:41:00,67.05,0
228,2019-06-11 2:11:00,66.05,0
229,2019-06-11 2:41:00,65.89,0
230,2019-06-11 3:11:00,66.05,0
231,2019-06-11 3:41:00,65.51,0
232,2019-06-11 4:11:00,64.50,0
233,2019-06-11 4:41:00,63.42,0
234,2019-06-11 5:11:00,62.96,0
235,2019-06-11 5:41:00,62.81,2
236,2019-06-11 6:11:00,62.19,20
237,2019-06-11 6:41:00,61.80,42
238,2019-06-11 7:11:00,61.11,85
239,2019-06-11 7:41:00,61.72,147
240,2019-06-11 8:11:00,72.46,"2,198"
241,2019-06-11 8:41:00,79.25,"2,845"
242,2019-06-11 9:11:00,82.57,"3,351"
243,2019-06-11 9:41:00,85.12,"3,613"
244,2019-06-11 10:11:00,86.90,"3,655"
245,2019-06-11 10:41:00,88.13,"3,487"
246,2019-06-11 11:11:00,90.61,"3,229"
247,2019-06-11 11:41:00,90.61,"3,033"
248,2019-06-11 12:11:00,90.30,"2,747"
249,2019-06-11 12:41:00,89.83,"1,768"
250,2019-06-11 13:11:00,90.22,"2,034"
251,2019-06-11 13:41:00,80.49,319
252,2019-06-11 14:11:00,79.02,261
253,2019-06-11 14:41:00,78.48,224
254,2019-06-11 15:11:00,78.40,209
255,2019-06-11 15:41:00,78.02,200
256,2019-06-11 16:11:00,76.63,174
257,2019-06-11 16:41:00,76.71,153
258,2019-06-11 17:11:00,76.40,142
259,2019-06-11 17:41:00,76.17,143
260,2019-06-11 18:11:00,74.23,132
261,2019-06-11 18:41:00,75.39,167
262,2019-06-11 19:11:00,72.77,94
263,2019-06-11 19:41:00,71.15,77
264,2019-06-11 20:11:00,68.06,24
265,2019-06-11 20:41:00,66.20,3
266,2019-06-11 21:11:00,64.89,0
267,2019-06-11 21:41:00,63.27,0
268,2019-06-11 22:11:00,62.34,0
269,2019-06-11 22:41:00,61.34,0
270,2019-06-11 23:11:00,60.80,0
271,2019-06-11 23:41:00,60.41,0
272,2019-06-12 0:11:00,60.26,0
273,2019-06-12 0:41:00,59.72,0
274,2019-06-12 1:11:00,58.95,0
275,2019-06-12 1:41:00,58.17,0
276,2019-06-12 2:11:00,57.63,0
277,2019-06-12 2:41:00,57.17,0
278,2019-06-12 3:11:00,56.63,0
279,2019-06-12 3:41:00,56.47,0
280,2019-06-12 4:11:00,56.55,0
281,2019-06-12 4:41:00,57.09,0
282,2019-06-12 5:11:00,57.32,0
283,2019-06-12 5:41:00,56.71,4
284,2019-06-12 6:11:00,56.86,38
285,2019-06-12 6:41:00,58.02,84
286,2019-06-12 7:11:00,59.56,127
287,2019-06-12 7:41:00,61.88,239
288,2019-06-12 8:11:00,65.66,408
289,2019-06-12 8:41:00,69.60,647
290,2019-06-12 9:11:00,74.23,"1,195"
291,2019-06-12 9:41:00,74.31,644
292,2019-06-12 10:11:00,77.25,"1,319"
293,2019-06-12 10:41:00,80.57,"1,739"
294,2019-06-12 11:11:00,77.17,973
295,2019-06-12 11:41:00,81.11,"1,626"
296,2019-06-12 12:11:00,85.82,"2,658"
297,2019-06-12 12:41:00,87.13,"1,616"
298,2019-06-12 13:11:00,85.90,"2,020"
299,2019-06-12 13:41:00,85.12,"1,865"
300,2019-06-12 14:11:00,81.11,376
301,2019-06-12 14:41:00,79.18,291
302,2019-06-12 15:11:00,77.71,237
303,2019-06-12 15:41:00,77.94,245
304,2019-06-12 16:11:00,78.25,212
305,2019-06-12 16:41:00,77.25,220
306,2019-06-12 17:11:00,77.48,236
307,2019-06-12 17:41:00,77.40,234
308,2019-06-12 18:11:00,75.70,220
309,2019-06-12 18:41:00,75.86,246
310,2019-06-12 19:11:00,74.00,91
311,2019-06-12 19:41:00,72.61,21
312,2019-06-12 20:11:00,71.92,7
313,2019-06-12 20:41:00,70.91,1
314,2019-06-12 21:11:00,69.60,0
315,2019-06-12 21:41:00,68.75,0
316,2019-06-12 22:11:00,67.90,0
317,2019-06-12 22:41:00,66.98,0
318,2019-06-12 23:11:00,63.19,0
319,2019-06-12 23:41:00,61.34,0
320,2019-06-13 0:11:00,60.72,0
321,2019-06-13 0:41:00,60.49,0
322,2019-06-13 1:11:00,60.49,0
323,2019-06-13 1:41:00,60.72,0
324,2019-06-13 2:11:00,60.41,0
325,2019-06-13 2:41:00,60.26,0
326,2019-06-13 3:11:00,60.34,0
327,2019-06-13 3:41:00,60.80,0
328,2019-06-13 4:11:00,61.34,0
329,2019-06-13 4:41:00,61.57,0
330,2019-06-13 5:11:00,60.80,0
331,2019-06-13 5:41:00,60.64,0
332,2019-06-13 6:11:00,60.80,5
333,2019-06-13 6:41:00,61.26,18
334,2019-06-13 7:11:00,62.03,41
335,2019-06-13 7:41:00,61.96,40
336,2019-06-13 8:11:00,62.88,83
337,2019-06-13 8:41:00,63.58,86
338,2019-06-13 9:11:00,64.43,109
339,2019-06-13 9:41:00,63.96,126
340,2019-06-13 10:11:00,64.04,118
341,2019-06-13 10:41:00,64.43,148
342,2019-06-13 11:11:00,64.97,227
343,2019-06-13 11:41:00,67.21,562
344,2019-06-13 12:11:00,71.38,892
345,2019-06-13 12:41:00,69.83,486
346,2019-06-13 13:11:00,71.07,373
347,2019-06-13 13:41:00,70.53,175
348,2019-06-13 14:11:00,74.93,517
349,2019-06-13 14:41:00,77.01,526
350,2019-06-13 15:11:00,77.09,487
351,2019-06-13 15:41:00,76.78,204
352,2019-06-13 16:11:00,75.32,249
353,2019-06-13 16:41:00,74.23,108
354,2019-06-13 17:11:00,67.98,287
355,2019-06-13 17:41:00,64.12,227
356,2019-06-13 18:11:00,65.89,139
357,2019-06-13 18:41:00,67.28,172
358,2019-06-13 19:11:00,67.28,118
359,2019-06-13 19:41:00,66.67,100
360,2019-06-13 20:11:00,61.88,21
361,2019-06-13 20:41:00,59.95,2
362,2019-06-13 21:11:00,60.88,0
363,2019-06-13 21:41:00,62.11,0
364,2019-06-13 22:11:00,61.88,0
365,2019-06-13 22:41:00,60.80,0
