Plot Title: S-A-0,,,
#,"Date Time, GMT -0400","Temp, °F","Intensity,  lum/ft²"
1,2020-10-06 12:17:57,66.82,347
2,2020-10-06 12:47:57,68.98,397
3,2020-10-06 13:17:57,68.37,390
4,2020-10-06 13:47:57,69.37,412
5,2020-10-06 14:17:57,70.68,484
6,2020-10-06 14:47:57,74.54,817
7,2020-10-06 15:17:57,74.70,605
8,2020-10-06 15:47:57,75.39,635
9,2020-10-06 16:17:57,84.97,"1,258"
10,2020-10-06 16:47:57,84.74,"1,142"
11,2020-10-06 17:17:57,84.58,865
12,2020-10-06 17:47:57,80.18,751
13,2020-10-06 18:17:57,73.31,352
14,2020-10-06 18:47:57,60.18,20
15,2020-10-06 19:17:57,57.09,1
16,2020-10-06 19:47:57,55.62,1
17,2020-10-06 20:17:57,54.47,1
18,2020-10-06 20:47:57,53.62,0
19,2020-10-06 21:17:57,52.84,1
20,2020-10-06 21:47:57,52.54,1
21,2020-10-06 22:17:57,52.23,1
22,2020-10-06 22:47:57,51.30,1
23,2020-10-06 23:17:57,50.84,0
24,2020-10-06 23:47:57,50.45,0
25,2020-10-07 0:17:57,50.14,0
26,2020-10-07 0:47:57,49.29,0
27,2020-10-07 1:17:57,48.44,0
28,2020-10-07 1:47:57,48.37,0
29,2020-10-07 2:17:57,48.21,0
30,2020-10-07 2:47:57,48.37,0
31,2020-10-07 3:17:57,48.37,0
32,2020-10-07 3:47:57,47.83,0
33,2020-10-07 4:17:57,47.21,0
34,2020-10-07 4:47:57,47.21,0
35,2020-10-07 5:17:57,47.44,0
36,2020-10-07 5:47:57,46.90,0
37,2020-10-07 6:17:57,46.44,0
38,2020-10-07 6:47:57,45.89,1
39,2020-10-07 7:17:57,46.44,39
40,2020-10-07 7:47:57,47.28,164
41,2020-10-07 8:17:57,48.44,248
42,2020-10-07 8:47:57,51.84,301
43,2020-10-07 9:17:57,54.23,316
44,2020-10-07 9:47:57,56.94,332
45,2020-10-07 10:17:57,60.80,353
46,2020-10-07 10:47:57,66.20,374
47,2020-10-07 11:17:57,71.22,385
48,2020-10-07 11:47:57,72.61,397
49,2020-10-07 12:17:57,73.54,405
50,2020-10-07 12:47:57,75.70,466
51,2020-10-07 13:17:57,77.32,510
52,2020-10-07 13:47:57,79.18,464
53,2020-10-07 14:17:57,80.26,491
54,2020-10-07 14:47:57,84.81,591
55,2020-10-07 15:17:57,84.51,642
56,2020-10-07 15:47:57,85.20,679
57,2020-10-07 16:17:57,91.61,"1,250"
