Reading,Load [N],Distance [mm],Time [s],Strain,Force (N)
1,0,0,0,0,0
2,0,0,0.01,0,0
3,0,0,0.02,0,0
4,0,0,0.03,0,0
5,0,0,0.04,0,0
6,0,0,0.05,0,0
7,0,0,0.06,0,0
8,0,0,0.07,0,0
9,0,0,0.08,0,0
10,0,0,0.09,0,0
11,0,0,0.1,0,0
12,-0.02,0,0.11,0,0.02
13,-0.1,0.03,0.12,0.0003,0.1
14,-0.28,0.06,0.13,0.0006,0.28
15,0.68,0.1,0.14,0.001,0.68
16,-0.72,0.12,0.15,0.0012,0.72
17,0.18,0.15,0.16,0.0015,0.18
18,-0.26,0.18,0.17,0.0018,0.26
19,-0.36,0.21,0.18,0.0021,0.36
20,-0.16,0.25,0.19,0.0025,0.16
21,-0.32,0.29,0.2,0.0029,0.32
22,-0.38,0.32,0.21,0.0032,0.38
23,-0.26,0.36,0.22,0.0036,0.26
24,-0.4,0.4,0.23,0.004,0.4
25,-0.44,0.44,0.24,0.0044,0.44
26,-0.28,0.49,0.25,0.0049,0.28
27,-0.66,0.53,0.26,0.0053,0.66
28,-0.2,0.57,0.27,0.0057,0.2
29,-0.76,0.61,0.28,0.0061,0.76
30,-0.24,0.66,0.29,0.0066,0.24
31,-0.7,0.7,0.3,0.007,0.7
32,-0.44,0.74,0.31,0.0074,0.44
33,-0.62,0.78,0.32,0.0078,0.62
34,-0.48,0.83,0.33,0.0083,0.48
35,-0.68,0.87,0.34,0.0087,0.68
36,-0.48,0.91,0.35,0.0091,0.48
37,-0.74,0.95,0.36,0.0095,0.74
38,-0.52,1,0.37,0.01,0.52
39,-0.74,1.04,0.38,0.0104,0.74
40,-0.62,1.08,0.39,0.0108,0.62
41,-0.66,1.12,0.4,0.0112,0.66
42,-0.7,1.17,0.41,0.0117,0.7
43,-0.66,1.21,0.42,0.0121,0.66
44,-0.74,1.25,0.43,0.0125,0.74
45,-0.66,1.29,0.44,0.0129,0.66
46,-0.8,1.34,0.45,0.0134,0.8
47,-0.64,1.38,0.46,0.0138,0.64
48,-0.82,1.42,0.47,0.0142,0.82
49,-0.66,1.46,0.48,0.0146,0.66
50,-0.84,1.5,0.49,0.015,0.84
51,-0.68,1.55,0.5,0.0155,0.68
52,-0.84,1.59,0.51,0.0159,0.84
53,-0.68,1.63,0.52,0.0163,0.68
54,-0.84,1.68,0.53,0.0168,0.84
55,-0.72,1.72,0.54,0.0172,0.72
56,-0.8,1.76,0.55,0.0176,0.8
57,-0.82,1.8,0.56,0.018,0.82
58,-0.82,1.84,0.57,0.0184,0.82
59,-0.78,1.89,0.58,0.0189,0.78
60,-0.86,1.93,0.59,0.0193,0.86
61,-0.8,1.97,0.6,0.0197,0.8
62,-0.86,2,0.61,0.02,0.86
63,-0.82,2.05,0.62,0.0205,0.82
64,-0.86,2.09,0.63,0.0209,0.86
65,-0.82,2.13,0.64,0.0213,0.82
66,-0.86,2.17,0.65,0.0217,0.86
67,-0.82,2.22,0.66,0.0222,0.82
